"seed","speciesId","SPO","HPS","EHS","ECN","PREY","STRV","MAT","BIR","CRWD","FPO","expectedFPO","fpoReconciled","pAVI","pAVIStatus","eAVI","eAVIStatus","predAVG","predAVGStatus","sAVI","sAVIStatus","cAVI","cAVIStatus","bAVG","bAVGStatus","RFS","RFSStatus","APS","APSStatus"
"1","hare","22","3999","5","5","5","24","3970","30","0","23","23","true","0.0","Valid","0.9987496733665466","Valid","0.4993748366832733","Valid","0.4893617033958435","Valid","1.0","Valid","0.007556675001978874","Valid","0.007556675001978874","Valid","-0.003706812858581543","Valid"
"2","hare","22","5528","6","6","6","26","5494","46","2","34","34","true","0.0","Valid","0.9989145994186401","Valid","0.49945729970932009","Valid","0.5806451439857483","Valid","0.9444444179534912","Valid","0.008372770622372628","Valid","0.10047324746847153","Valid","0.1250200867652893","Valid"
"3","hare","22","3905","7","8","7","31","3863","41","4","21","21","true","0.125","Valid","0.9982074499130249","Valid","0.5616037249565125","Valid","0.4464285671710968","Valid","0.8399999737739563","Valid","0.010613513179123402","Valid","-0.010613513179123402","Valid","-0.16258123517036439","Valid"
"4","hare","22","3783","7","7","7","31","3744","37","1","20","20","true","0.0","Valid","0.9981496334075928","Valid","0.4990748167037964","Valid","0.4038461446762085","Valid","0.9523809552192688","Valid","0.009882478974759579","Valid","-0.019764957949519159","Valid","-0.16446304321289063","Valid"
"5","hare","22","2780","6","6","6","22","2750","24","2","16","16","true","0.0","Valid","0.9978417158126831","Valid","0.49892085790634158","Valid","0.44999998807907107","Valid","0.8888888955116272","Valid","0.008727272972464562","Valid","-0.05236363783478737","Valid","-0.21455389261245728","Valid"
"6","hare","22","7467","5","5","5","35","7425","79","2","59","59","true","0.0","Valid","0.9993304014205933","Valid","0.49966520071029665","Valid","0.6354166865348816","Valid","0.9672130942344666","Valid","0.010639730840921402","Valid","0.39367005228996279","Valid","0.49596500396728518","Valid"
"7","hare","22","2610","3","3","3","20","2585","22","2","19","19","true","0.0","Valid","0.9988505840301514","Valid","0.4994252920150757","Valid","0.5121951103210449","Valid","0.9047619104385376","Valid","0.008510638028383255","Valid","-0.025531914085149766","Valid","-0.10914960503578186","Valid"
"8","hare","22","4151","5","5","5","25","4120","44","1","35","35","true","0.0","Valid","0.9987954497337341","Valid","0.49939772486686709","Valid","0.5901639461517334","Valid","0.9722222089767456","Valid","0.010679611936211586","Valid","0.13883495330810548","Valid","0.20061886310577393","Valid"
"9","hare","22","5110","4","4","4","23","5079","44","4","35","35","true","0.0","Valid","0.9992172122001648","Valid","0.4996086061000824","Valid","0.6290322542190552","Valid","0.8974359035491943","Valid","0.008663122542202473","Valid","0.11262059211730957","Valid","0.13869738578796388","Valid"
"10","hare","22","3400","6","6","6","15","3379","23","0","24","24","true","0.0","Valid","0.998235285282135","Valid","0.4991176426410675","Valid","0.6153846383094788","Valid","1.0","Valid","0.006806747522205114","Valid","0.013613495044410229","Valid","0.12811577320098878","Valid"
"11","hare","22","2983","6","6","6","28","2947","27","2","13","13","true","0.0","Valid","0.9979885816574097","Valid","0.49899429082870486","Valid","0.3488371968269348","Valid","0.8666666746139526","Valid","0.00916185975074768","Valid","-0.08245673775672913","Valid","-0.36795857548713686","Valid"
"12","hare","22","2170","5","5","5","22","2141","15","2","8","8","true","0.0","Valid","0.9976958632469177","Valid","0.49884793162345889","Valid","0.3125","Valid","0.800000011920929","Valid","0.007006071973592043","Valid","-0.09808500856161118","Valid","-0.48673707246780398","Valid"
"13","hare","22","4653","5","5","5","24","4619","42","5","30","30","true","0.0","Valid","0.9989254474639893","Valid","0.49946272373199465","Valid","0.5932203531265259","Valid","0.8571428656578064","Valid","0.009092877618968487","Valid","0.0727430209517479","Valid","0.022568941116333009","Valid"
