panel,seed,baselineFPO,interventionFPO,deltaFPO
development,201,245,355,110
development,202,249,308,59
development,203,157,307,150
development,204,222,342,120
development,205,246,354,108
development,206,270,348,78
development,207,160,325,165
development,208,260,287,27
development,209,273,296,23
development,210,262,316,54
development,211,263,331,68
development,212,308,375,67
development,213,286,332,46
development,214,262,304,42
development,215,282,302,20
development,216,276,323,47
development,217,340,355,15
development,218,260,301,41
development,219,247,351,104
development,220,256,328,72
held-out,301,270,287,17
held-out,302,298,345,47
held-out,303,259,316,57
held-out,304,255,349,94
held-out,305,240,287,47
